variant_id,environment,canister_id,tok_call_n3_mean,tok_call_cv,perplexity_wikitext2,perplexity_c4,hellaswag_acc,arc_acc,piqa_acc,winogrande_acc,coherence_pass,timestamp_utc,notes
V1-smollm135,local,uxrrr-q7777-77774-qaaaq-cai,74,0.000,,,,,,,pending,2026-04-20T13:20:30Z,"binsearch: ok=[50 62 68 71 73 74]; fail=[100 75]; N_MAX=74; 3 reps all=74"
V2-smollm135,local,uxrrr-q7777-77774-qaaaq-cai,77,0.000,,,,,,,pending,2026-04-20T13:25:50Z,"binsearch: ok=[50 75 76 77]; fail=[100 87 81 78]; N_MAX=77; 3 reps all=77"
V3a-smollm135,local,uxrrr-q7777-77774-qaaaq-cai,77,0.000,,,,,,,pending,2026-04-20T13:31:19Z,"binsearch: ok=[50 75 76 77]; fail=[100 87 81 78]; N_MAX=77; 3 reps all=77"
V3b-smollm135,local,uxrrr-q7777-77774-qaaaq-cai,80,0.000,,,,,,,pending,2026-04-20T13:36:41Z,"binsearch: ok=[50 75 78 79 80]; fail=[100 87 81]; N_MAX=80; 3 reps all=80"
V3c-smollm135,local,uxrrr-q7777-77774-qaaaq-cai,82,0.000,,,,,,,pending,2026-04-20T13:42:10Z,"binsearch: ok=[50 75 81 82]; fail=[100 87 84 83]; N_MAX=82; 3 reps all=82"
V4-smollm135,local,uxrrr-q7777-77774-qaaaq-cai,78,0.000,,,,,,,pending,2026-04-20T13:47:25Z,"binsearch: ok=[50 75 78]; fail=[100 87 81 79]; N_MAX=78; 3 reps all=78"
BASE-Q4_0-smollm135,local,uxrrr-q7777-77774-qaaaq-cai,95,0.000,,,,,,,pending,2026-04-20T13:52:21Z,"binsearch: ok=[50 75 87 93 94 95]; fail=[100 96]; N_MAX=95; 3 reps all=95"
BASE-Q5_K_M-smollm135,local,uxrrr-q7777-77774-qaaaq-cai,66,0.000,,,,,,,pending,2026-04-20T13:57:40Z,"binsearch: ok=[50 62 65 66]; fail=[100 75 68 67]; N_MAX=66; 3 reps all=66"
BASE-Q8_0-smollm135,local,uxrrr-q7777-77774-qaaaq-cai,97,0.000,,,,,,,pending,2026-04-20T14:03:26Z,"binsearch: ok=[50 75 87 93 96 97]; fail=[100 98]; N_MAX=97; 3 reps all=97"
V1-qwen05,local,uxrrr-q7777-77774-qaaaq-cai,22,0.000,,,,,,,pending,2026-04-20T14:59:52Z,"binsearch: ok=[20 22]; fail=[40 60 80 30 25 23]; N_MAX=22; 3 reps all=22"
V2-qwen05,local,uxrrr-q7777-77774-qaaaq-cai,22,0.000,,,,,,,pending,2026-04-20T15:10:16Z,"binsearch: ok=[20 22]; fail=[40 60 80 30 25 23]; N_MAX=22; 3 reps all=22"
V3a-qwen05,local,uxrrr-q7777-77774-qaaaq-cai,23,0.000,,,,,,,pending,2026-04-20T15:21:13Z,"binsearch: ok=[20 22 23]; fail=[40 60 80 30 25 24]; N_MAX=23; 3 reps all=23"
V3b-qwen05,local,uxrrr-q7777-77774-qaaaq-cai,24,0.000,,,,,,,pending,2026-04-20T15:32:25Z,"binsearch: ok=[20 22 23 24]; fail=[40 60 80 30 25]; N_MAX=24; 3 reps all=24"
V3c-qwen05,local,uxrrr-q7777-77774-qaaaq-cai,25,0.000,,,,,,,pending,2026-04-20T15:43:49Z,"binsearch: ok=[20 25]; fail=[40 60 80 30 27 26]; N_MAX=25; 3 reps all=25"
V4-qwen05,local,uxrrr-q7777-77774-qaaaq-cai,23,0.000,,,,,,,pending,2026-04-20T15:54:44Z,"binsearch: ok=[20 22 23]; fail=[40 60 80 30 25 24]; N_MAX=23; 3 reps all=23"
BASE-Q4_0-qwen05,local,uxrrr-q7777-77774-qaaaq-cai,20,0.000,,,,,,,pending,2026-04-20T16:01:57Z,"binsearch: ok=[20]; fail=[40 60 80 30 25 22 21]; N_MAX=20; 3 reps all=20"
BASE-Q5_K_M-qwen05,local,uxrrr-q7777-77774-qaaaq-cai,19,0.000,,,,,,,pending,2026-04-20T16:13:03Z,"binsearch: ok=[10 15 17 18 19]; fail=[20 40 60 80]; N_MAX=19; 3 reps all=19"
BASE-Q8_0-qwen05,local,uxrrr-q7777-77774-qaaaq-cai,30,0.000,,,,,,,pending,2026-04-20T16:32:05Z,"binsearch-v2 narrative prompt: ok=[20 30]; fail=[40 50 35 32 31]; N_MAX=30; EOS-limited with factual prompt"
Falcon-H1-Tiny-Instruct-Q8_0,local,uxrrr-q7777-77774-qaaaq-cai,100,0.000,,,,,,,pending,2026-04-20T18:48:37Z,"binsearch-ssm: ok=[50 100]; marginal=[150 seed OK eog=true but 3/3 reps FAIL due to sampling]; fail=[151 153 156 162 175 200 via IC0522]; N_MAX_reliable=100 wall=18.9s tok/s~5.3; Phase1 SSN ref=199 tok/call (different WASM)"
