variant_id,model_id,base_format,mixed_strategy,layers_q8,layers_q4,token_embedding_type,output_tensor_type,gguf_path,size_MB,sha256,timestamp_utc,notes
V1-smollm135,SmolLM2-135M,Q4_K_M,embedding_q8,,ALL,q8_0,,.worktree-cache/variants-stage/smollm135/V1-smollm135.gguf,105.454,65358f70297b759c82857828f338f4aad0b45586339d7bc860e6897f1a8da592,2026-04-20T12:31:53Z,tied embedding (no separate output.weight); 181 fallback/warn lines
V2-smollm135,SmolLM2-135M,Q4_K_M,attn_qkv_q8,,ALL,,,.worktree-cache/variants-stage/smollm135/V2-smollm135.gguf,111.094,fcefcf36e52c4511ba269a4cb09a3a404dea2e8fe9fb574d89c5c342c7017d18,2026-04-20T12:31:53Z,attn_q/k/v -> q8_0 via regex; 91 fallback/warn lines
V3a-smollm135,SmolLM2-135M,Q4_K_M,first4_q8,"0,1,2,3","4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",,,.worktree-cache/variants-stage/smollm135/V3a-smollm135.gguf,110.127,bad8b079ce9f900b0b54ef1364040cb848bce1c373bb89dbc4cccb40040a826c,2026-04-20T12:31:54Z,layers 0..3 -> q8_0; 157 fallback/warn lines
V3b-smollm135,SmolLM2-135M,Q4_K_M,first8_q8,"0,1,2,3,4,5,6,7","8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",,,.worktree-cache/variants-stage/smollm135/V3b-smollm135.gguf,115.608,d94093c9adedbb5a6733a3b56a61d31a08cb16bc9659257e50024f4b69949f16,2026-04-20T12:31:54Z,layers 0..7 -> q8_0; 133 fallback/warn lines
V3c-smollm135,SmolLM2-135M,Q4_K_M,first12_q8,"0,1,2,3,4,5,6,7,8,9,10,11","12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",,,.worktree-cache/variants-stage/smollm135/V3c-smollm135.gguf,121.089,26bd779166aa5aae6af41ee9ea86065bce9956d88cd7e108ab5c17ea7e348068,2026-04-20T12:31:55Z,layers 0..11 -> q8_0; 109 fallback/warn lines
V4-smollm135,SmolLM2-135M,Q4_K_M,top_deltappl_q8,"11,17,19,20,28,29","0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,18,21,22,23,24,25,26,27",,,.worktree-cache/variants-stage/smollm135/V4-smollm135.gguf,113.002,eb3a607846f356e10d9dc2404a6f1b6cfe2f8b51159c37d656c013f1eacce5af,2026-04-20T12:31:55Z,top-6 ΔPPL layers -> q8_0; 145 fallback/warn lines
BASE-Q4_0-smollm135,SmolLM2-135M,Q4_0,baseline,,,,,.worktree-cache/variants-stage/smollm135/BASE-Q4_0-smollm135.gguf,91.726,c83d61ab82ef4ec925f3c6757a174861ad3dd391ec7685c1c315388dacb072f3,2026-04-20T12:34:54Z,2 fallback/warn lines (token_embd -> q8_0, output tied)
BASE-Q5_K_M-smollm135,SmolLM2-135M,Q5_K_M,baseline,,,,,.worktree-cache/variants-stage/smollm135/BASE-Q5_K_M-smollm135.gguf,112.103,44a502d9f56f1d28d24e014ce1d02647123e5f13351e6104e57d08489cb8aca2,2026-04-20T12:34:54Z,181 fallback/warn lines (ncols 576 not divisible by 256 for q6_K/q5_K)
BASE-Q8_0-smollm135,SmolLM2-135M,Q8_0,baseline,,,,,.worktree-cache/variants-stage/smollm135/BASE-Q8_0-smollm135.gguf,144.811,a5f92cf648bad875c6da08ee4dc05860e81b9fba5edbd455f37e011079b3f69a,2026-04-20T12:34:54Z,0 fallback/warn lines (uniform q8_0)
V1-qwen05,Qwen2.5-0.5B,Q4_K_M,embedding_q8,,ALL,q8_0,,.worktree-cache/variants-stage/qwen05/V1-qwen05.gguf,397.808,6c462d760b8a2804cbbc266762305a6c5bf033dbefcedb91af2927a09f26818e,2026-04-20T14:47:04Z,tied embedding (no separate output.weight); 145 fallback/warn lines
