file,size_MB,arch,block_count,embedding_length,feed_forward_length,head_count,context_length,vocab_size,params_M_calc,quant_detected,error
llama_cpp_canister/models/DistilGPT2-82M/distilgpt2.Q4_0.gguf,77.2,gpt2,6,768,3072,12,1024,50257,120.5,Q4_0,
llama_cpp_canister/models/DistilGPT2-82M/distilgpt2.Q8_0.gguf,124.7,gpt2,6,768,3072,12,1024,50257,120.5,Q8_0,
llama_cpp_canister/models/GPT2-124M/gpt2-6L-pruned.Q8_0.gguf,126.2,gpt2,6,768,3072,12,1024,50257,120.5,Q8_0,
llama_cpp_canister/models/GPT2-124M/gpt2.Q4_0.gguf,101.6,gpt2,12,768,3072,12,1024,50257,163.0,Q4_0,
llama_cpp_canister/models/GPT2-124M/gpt2.Q8_0.gguf,169.4,gpt2,12,768,3072,12,1024,50257,163.0,Q8_0,
llama_cpp_canister/models/H2O-Danube3-500M/h2o-danube3-500m-chat.Q4_0.gguf,288.5,llama,16,1536,4096,16,8192,32000,513.6,Q6_K,
llama_cpp_canister/models/H2O-Danube3-500M/h2o-danube3-500m-chat.Q8_0.gguf,521.2,llama,16,1536,4096,16,8192,32000,513.6,Q8_0,
llama_cpp_canister/models/Loggenix-0.12B-MoE/loggenix-moe-0.12B-A0.08B-e5-lr5e4-b16-3060-v2-finetuned.Q8_0.gguf,141.0,qwen3moe,8,512,768,8,1024,151936,133.4,Q8_0,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-f16.gguf,258.7,mamba,24,768,0,0,1048576,50280,129.1,F16,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-f32.gguf,494.3,mamba,24,768,0,0,1048576,50280,129.1,F32,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q2_k.gguf,79.8,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q3_k_l.gguf,88.0,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q3_k_m.gguf,88.0,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q3_k_s.gguf,88.0,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q4_0.gguf,98.8,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q4_k_m.gguf,98.8,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q4_k_s.gguf,98.8,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q5_0.gguf,108.9,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q5_k_m.gguf,108.9,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q5_k_s.gguf,108.9,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
llama_cpp_canister/models/Mamba-130M/mamba-130m/mamba-130m-q6_k.gguf,119.7,mamba,24,768,0,0,1048576,50280,129.1,Q6_K,
