model,quant,prompt_len,tokens_generated,tokens_per_sec,time_ms,prefill_tok_per_sec,prefill_ms
SmolLM2-135M,Q4_0,16,63,803.71,83.00,3466.20,4.62
SmolLM2-135M,Q4_0,128,63,709.82,122.03,3846.96,33.27
SmolLM2-135M,Q4_0,512,63,539.05,272.02,3300.16,155.14
Qwen2.5-0.5B,Q4_0,16,63,339.48,201.29,1018.14,15.71
Qwen2.5-0.5B,Q4_0,128,63,328.23,283.38,1399.86,91.44
Qwen2.5-0.5B,Q4_0,512,63,283.22,590.87,1389.69,368.43
Pythia-70M,Q4_0,16,63,2532.97,26.07,13411.57,1.19
Pythia-70M,Q4_0,128,63,2426.72,32.16,20661.82,6.20
Pythia-70M,Q4_0,512,63,2000.06,58.25,19140.19,26.75
GPT2-124M,Q8_0,16,63,810.35,81.18,4651.16,3.44
GPT2-124M,Q8_0,128,63,750.46,108.25,5266.84,24.30
GPT2-124M,Q8_0,512,63,536.05,219.49,5021.38,101.96
SmolLM2-135M-instruct,Q8_0,16,63,643.06,103.77,2756.24,5.80
SmolLM2-135M-instruct,Q8_0,128,63,579.86,143.53,3669.51,34.88
SmolLM2-135M-instruct,Q8_0,512,63,464.86,292.11,3269.77,156.59
Gemma3-270M,Q4_0,16,63,485.24,142.93,1221.56,13.10
Gemma3-270M,Q4_0,128,63,480.86,169.36,3338.03,38.35
Gemma3-270M,Q4_0,512,63,421.64,293.52,3552.87,144.11
Llama-3.2-1B,Q4_0,16,63,163.18,434.62,329.67,48.53
Llama-3.2-1B,Q4_0,128,63,158.33,651.82,504.12,253.91
Llama-3.2-1B,Q4_0,512,63,132.37,1390.79,559.66,914.84
Gemma3-1B,Q2_K,16,63,147.66,489.47,254.76,62.80
Gemma3-1B,Q2_K,128,63,144.75,642.80,616.70,207.56
Gemma3-1B,Q2_K,512,63,136.19,1162.96,731.05,700.36
Falcon-H1-Tiny-90M,Q8_0,16,63,470.25,143.55,1671.37,9.57
Falcon-H1-Tiny-90M,Q8_0,128,63,428.94,197.74,2516.27,50.87
Falcon-H1-Tiny-90M,Q8_0,512,63,404.72,325.97,3006.28,170.31
Qwen3.5-0.8B,Q4_0,16,63,130.78,530.34,329.16,48.61
Qwen3.5-0.8B,Q4_0,128,63,102.99,897.78,447.47,286.05
Qwen3.5-0.8B,Q4_0,512,63,100.65,1742.49,458.56,1116.54
