held_out_arch,model,params_M,tok_measured,tok_predicted,alpha_train_median,relative_error,absolute_relative_error,is_legacy
gpt2,DistilGPT2,82,119,158.4,1.54,0.3309,0.3309,True
gpt2,GPT-2-124M,124,84,104.7,1.54,0.2468,0.2468,True
gemma3,Gemma3-270M-IT,270,53,48.1,1.54,-0.0925,0.0925,False
llama,H2O-Danube3-500M,500,27,25.8,1.55,-0.0442,0.0442,False
llama,SmolLM2-135M,135,103,95.6,1.55,-0.072,0.072,False
llama,SmolLM2-360M,360,36,35.8,1.55,-0.0044,0.0044,False
mamba,Mamba-370M,370,35,35.1,1.54,0.0029,0.0029,False
openelm,OpenELM-270M,270,45,48.1,1.54,0.0689,0.0689,False
gpt_neox,Pythia-14M,14,838,927.6,1.54,0.107,0.107,False
gpt_neox,Pythia-70M,70,185,185.5,1.54,0.0029,0.0029,False
qwen2,Qwen-2.5-0.5B,494,27,26.3,1.54,-0.0263,0.0263,False
qwen3,Qwen3-0.6B,600,22,21.6,1.54,-0.0161,0.0161,False
rwkv7,RWKV7-0.4B,400,32,32.5,1.54,0.0146,0.0146,False
