model,family,params_M,tok_per_call,alpha_eff,cooks_distance,studentized_residual,is_legacy,influential
DistilGPT2,gpt2,82.0,119,2.05,0.2388,-1.9655,True,False
Pythia-14M,gpt_neox,14.0,838,1.7,0.2318,0.5432,False,False
Pythia-70M,gpt_neox,70.0,208,1.374,0.2227,1.6644,False,False
Qwen-2.5-0.5B,qwen2,494.0,31,1.306,0.1167,1.2384,False,False
GPT-2-124M,gpt2,124.0,84,1.92,0.0935,-1.406,True,False
Mamba-370M,mamba,370.0,30,1.802,0.092,-1.2881,False,False
Gemma3-270M-IT,gemma3,270.0,56,1.323,0.0762,1.3362,False,False
SmolLM2-135M,llama,135.0,97,1.527,0.0084,0.4017,False,False
OpenELM-270M,openelm,270.0,45,1.65,0.008,-0.401,False,False
H2O-Danube3-500M,llama,500.0,27,1.48,0.0029,0.1815,False,False
RWKV7-0.4B,rwkv7,400.0,32,1.56,0.0015,-0.1469,False,False
Qwen3-0.6B,qwen3,600.0,22,1.52,0.0004,-0.0569,False,False
SmolLM2-360M,llama,360.0,36,1.54,0.0,-0.0159,False,False
