layer_idx,regex,ppl,delta_ppl,ppl_uncertainty
0,^blk\.0\.(attn_.*|ffn_.*)\.weight$,11.687500,0.013900,0.082870
1,^blk\.1\.(attn_.*|ffn_.*)\.weight$,11.670900,-0.002700,0.082760
2,^blk\.2\.(attn_.*|ffn_.*)\.weight$,11.682700,0.009100,0.082900
3,^blk\.3\.(attn_.*|ffn_.*)\.weight$,11.681700,0.008100,0.082890
4,^blk\.4\.(attn_.*|ffn_.*)\.weight$,11.674300,0.000700,0.082800
5,^blk\.5\.(attn_.*|ffn_.*)\.weight$,11.678900,0.005300,0.082790
6,^blk\.6\.(attn_.*|ffn_.*)\.weight$,11.676500,0.002900,0.082830
7,^blk\.7\.(attn_.*|ffn_.*)\.weight$,11.679800,0.006200,0.082840
8,^blk\.8\.(attn_.*|ffn_.*)\.weight$,11.681900,0.008300,0.082860
9,^blk\.9\.(attn_.*|ffn_.*)\.weight$,11.677900,0.004300,0.082840
10,^blk\.10\.(attn_.*|ffn_.*)\.weight$,11.680100,0.006500,0.082820
11,^blk\.11\.(attn_.*|ffn_.*)\.weight$,11.683900,0.010300,0.082970
12,^blk\.12\.(attn_.*|ffn_.*)\.weight$,11.681800,0.008200,0.082880
13,^blk\.13\.(attn_.*|ffn_.*)\.weight$,11.680400,0.006800,0.082870
14,^blk\.14\.(attn_.*|ffn_.*)\.weight$,11.679200,0.005600,0.082830
15,^blk\.15\.(attn_.*|ffn_.*)\.weight$,11.677300,0.003700,0.082840
16,^blk\.16\.(attn_.*|ffn_.*)\.weight$,11.686600,0.013000,0.082900
17,^blk\.17\.(attn_.*|ffn_.*)\.weight$,11.677000,0.003400,0.082790
18,^blk\.18\.(attn_.*|ffn_.*)\.weight$,11.676500,0.002900,0.082810
19,^blk\.19\.(attn_.*|ffn_.*)\.weight$,11.681800,0.008200,0.082800
20,^blk\.20\.(attn_.*|ffn_.*)\.weight$,11.684000,0.010400,0.082930
21,^blk\.21\.(attn_.*|ffn_.*)\.weight$,11.683900,0.010300,0.082910
22,^blk\.22\.(attn_.*|ffn_.*)\.weight$,11.686100,0.012500,0.082890
23,^blk\.23\.(attn_.*|ffn_.*)\.weight$,11.698700,0.025100,0.083000
