layer_idx,regex,ppl,delta_ppl,ppl_uncertainty
0,^blk\.0\.(attn_.*|ffn_.*)\.weight$,13.587400,0.013400,0.098870
1,^blk\.1\.(attn_.*|ffn_.*)\.weight$,13.576200,0.002200,0.098740
2,^blk\.2\.(attn_.*|ffn_.*)\.weight$,13.591400,0.017400,0.098880
3,^blk\.3\.(attn_.*|ffn_.*)\.weight$,13.579600,0.005600,0.098780
4,^blk\.4\.(attn_.*|ffn_.*)\.weight$,13.576900,0.002900,0.098760
5,^blk\.5\.(attn_.*|ffn_.*)\.weight$,13.573300,-0.000700,0.098720
6,^blk\.6\.(attn_.*|ffn_.*)\.weight$,13.576500,0.002500,0.098790
7,^blk\.7\.(attn_.*|ffn_.*)\.weight$,13.576700,0.002700,0.098770
8,^blk\.8\.(attn_.*|ffn_.*)\.weight$,13.578600,0.004600,0.098760
9,^blk\.9\.(attn_.*|ffn_.*)\.weight$,13.588500,0.014500,0.098810
10,^blk\.10\.(attn_.*|ffn_.*)\.weight$,13.578500,0.004500,0.098820
11,^blk\.11\.(attn_.*|ffn_.*)\.weight$,13.599600,0.025600,0.099090
12,^blk\.12\.(attn_.*|ffn_.*)\.weight$,13.587600,0.013600,0.098880
13,^blk\.13\.(attn_.*|ffn_.*)\.weight$,13.587200,0.013200,0.098870
14,^blk\.14\.(attn_.*|ffn_.*)\.weight$,13.581300,0.007300,0.098780
15,^blk\.15\.(attn_.*|ffn_.*)\.weight$,13.578800,0.004800,0.098780
16,^blk\.16\.(attn_.*|ffn_.*)\.weight$,13.579900,0.005900,0.098780
17,^blk\.17\.(attn_.*|ffn_.*)\.weight$,13.592700,0.018700,0.098890
18,^blk\.18\.(attn_.*|ffn_.*)\.weight$,13.591800,0.017800,0.098770
19,^blk\.19\.(attn_.*|ffn_.*)\.weight$,13.599200,0.025200,0.099000
20,^blk\.20\.(attn_.*|ffn_.*)\.weight$,13.594800,0.020800,0.098890
21,^blk\.21\.(attn_.*|ffn_.*)\.weight$,13.588600,0.014600,0.098790
22,^blk\.22\.(attn_.*|ffn_.*)\.weight$,13.585900,0.011900,0.098820
23,^blk\.23\.(attn_.*|ffn_.*)\.weight$,13.583300,0.009300,0.098780
24,^blk\.24\.(attn_.*|ffn_.*)\.weight$,13.583200,0.009200,0.098760
25,^blk\.25\.(attn_.*|ffn_.*)\.weight$,13.578400,0.004400,0.098800
26,^blk\.26\.(attn_.*|ffn_.*)\.weight$,13.583800,0.009800,0.098840
27,^blk\.27\.(attn_.*|ffn_.*)\.weight$,13.580200,0.006200,0.098810
28,^blk\.28\.(attn_.*|ffn_.*)\.weight$,13.604400,0.030400,0.098880
29,^blk\.29\.(attn_.*|ffn_.*)\.weight$,13.646100,0.072100,0.099120
